domicilio;caract_sitio;autores;f_e;tamaÑo_mts;ubicacion;tecnica;nombre_obra;lon;lat
Moreno 376;Oficinas;Gustavo Van Treeck, Munich;1920;;Escalera ;Vitraux;Ganadería;-58.3715;-34.6114
Moreno 376;Oficinas;Gustavo Van Treeck, Munich;1920;;Escalera ;Vitraux;Comercio;-58.3715;-34.6114
Moreno 376;Oficinas;Gustavo Van Treeck, Munich;1920;;Escalera ;Vitraux;Tráfico;-58.3715;-34.6114
Moreno 970;Oficinas;Rodolfo Julio Bardi;1968;;"Estudio De Grabación ""tnt""";Relieve;Grabando;-58.38;-34.6121
Av. Brasil 1138, Gral. Hornos 11;Estación Constitución, Fcg Roca;Gerardo Cianciolo;2000;120 x 3;Andén 14;Pintura Mural;Historia del ferrocarril;-58.3804;-34.6279
Av. Independencia 501,esq. Perú;Edificio De Viviendas;Reato / Ledesma / Caveri / Rojas;1990;20 x 13;Muro Exterior;Pintura Mural;Carnaval de antaño;-58.3731;-34.6172
Av. Juan B. Justo al 1000;Muros Del Fcg San Martín;Alfredo Segatori (Pelado);1999;irregular;S/ Línea Oficial De Edificación;Pintura Mural En Aerosol;Hachadores;-58.43;-34.5819
Av. Pedro de Mendoza al 1600;Cuartel De Bomberos;Andrés Bestard y colaboradores;1978;18 x 6;Fachada;Mural Esgrafiado;Homenaje a nuestros hermanos nativos de América;-58.3571;-34.638
Cerrito al 1300;Plaza Cataluña;B.J.F.C.;1996;;Med. Embajada De Francia;Pintura Mural;Trompe ´l oeil;-58.3829;-34.5929
Cochabamba e/ Combate de los Pozos y Sarandí;Plaza Francisco Canaro;Dante Quinterno;2000;;;;Patoruzú e Isidoro;-58.3927;-34.624
Dr. Enrique del Valle Ibarlucea 1282;;Vincent Walter;1990;1,50 x 2,50;Fachada;Relieve En Cemento Patinado;Don Benito Quinquela Martín;-58.3822;-34.633
Perón 1372;Unione E Benevolenza;Luis Trinchero;1913;;Fachada;Relieves;Fiebre amarilla;-58.3858;-34.6067
Guzmán 730;Cementerio De La Chacarita, Capilla ;Miguel Petrone Gaudino;1940;;Capilla De Responsos, Sector A;Oleo Sobre Tela;La resurrección de Lázaro;-58.4557;-34.5873
Perón 1372;Unione E Benevolenza;Luis Trinchero;1913;;Fachada;Relieves;Socorros Mutuos;-58.3858;-34.6067
Perón 1372;Unione E Benevolenza;Luis Trinchero;1913;;Fachada;Relieves;Trabajo;-58.3858;-34.6067
Perón 1372;Unione E Benevolenza;Luis Trinchero;1913;;Fachada;Relieves;Instrucción;-58.3858;-34.6067
Guzmán 730;Cementerio De La Chacarita, Capilla ;Emilio Centurión;1940;;Capilla De Responsos, Sector A;Oleo Sobre Tela;La resurrección de Cristo;-58.4557;-34.5873
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Jorge Soto Acébal;1939;3,40 x 2,76;Hall;Óleo S/ Tela;Primer Trueque;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Jorge Soto Acébal;1939;3,40 x 2,76;Hall;Óleo S/ Tela;Principios de la corriente inmigratoria;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Raúl Mazza;1939;1,67 x 2,77;Of 1220;Öleo S/tela;La cosecha;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Gastón Jarry;1939;2,34 x 2,78;Of 528;Óleo S/ Tela;Puertos Argentinos;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Antonio Ramón Pibernat;1939;2,34 x 2,77;Of 511;Óleo S/ Tela;Vendimia;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Emilio Centurión;1939;1,67 x 2,78;Salón De Cuadros;Óleo S/ Tela;Aserradero;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Adolfo Montero;1939;1,68 x 2,78;Of 820;Óleo S/ Tela;Nativos norteños en mercado regional;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Ernesto Riccio;1939;1,67 x 2,77;Of 513;Óleo S/ Tela;Aserradero;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Antonio Alice;1939;2,32 x 3,52;Hall 6 Piso;Óleo S/ Tela;Riquezas Argentinas;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Edelmiro Lescano Ceballos;1939;1,67 x 2,77;Of 1020;Óleo S/ Tela;Nativos ofreciendo riquezas;-58.3702;-34.6093
Hipólito Yrigoyen 250 / Balcarce 139;Ministerio De Economía;Paulina Blinder;1939;.67 x .50;Of 606;Óleo S/ Tela;La segadora;-58.3702;-34.6093
Marcelo Torcuato de Alvear 1864;Poder Judicial;Benito Quinquela Martín;1937;;Escalera Principal;Oleo Sobre Hardboard;Construcción de desagües;-58.3942;-34.5973
Moreno 1330 / 32;Unión Personal Civil De La Nación;Autor desconocido;1910; 2.90 x 3.50;Hall 1º Piso;Vitraux;La noche;-58.3852;-34.6122
Moreno 1330 / 32;Unión Personal Civil De La Nación;Autor desconocido;1910;2,90 x 3,50;Hall 1º Piso;Vitraux;El día;-58.3852;-34.6122
Moreno 1330 / 32;Unión Personal Civil De La Nación;Autor desconocido;1910;2 x 4;Techo Acceso;Pintura Mural ;Figura femenina;-58.3852;-34.6122
Moreno 1330 / 32;Unión Personal Civil De La Nación;Autor desconocido;1910;5 x 5;Cielorraso S/ Hall Central;Pintura Mural ;Industria;-58.3852;-34.6122
Av. de Mayo 501 esq Chacabuco 17;Banco Hbsc;Benitpo Quinquela Martín;1962;;Hall;Oleo Sobre Madera;Día de trabajo en La Boca;-58.374;-34.6082
Av. Fgueroa Alcorta 2263;Facultad De Derecho Y Ciencias Sociales;Benito Quinquela Martín;;;Pileta De Natación;Esmalte Sobre Hierro;;-58.3919;-34.5825
Moreno 560 / 84;Casa Nac.De La Música,ex Bibl.Nac.;Arq. Carlos Morra;1901;;Ex Sala De Lectura;Vitraux  Claraboya;Sin título;-58.3742;-34.6115
Av. Callao 540 esquina Tucumán;San Salvador;Nazareno Orlandi;;;Bóveda Nave Central;Fresco;;-58.3933;-34.6026
